Class	Property	Count	Min. Ann.	Max. Ann.	Min	Max	Mean	0	1	2	3	4	5	6	7	8	9	10	11	12	13
dbo:Place	dbp:timezone	925383	M0	M1	0	6	0.295520882	0.70467	0.29519	0.00012	0.00002	0	0	0	0	0	0	0	0	0	0
dbo:Organization	dbo:wikiPageWikiLink	164068	M0	ANY	0	1946	40.10778458	0.01966	0.00018	0.00163	0.00395	0.00732	0.01149	0.01562	0.02147	0.02341	0.02573	0.02754	0.02781	0.02814	0.02818
dbo:Organization	rdf:type	164068	M1	ANY	2	63	11.20979106	0	0	0.01276	0.04651	0.08091	0.08816	0.07633	0.05644	0.03494	0.02732	0.0262	0.03486	0.04279	0.05301
dbo:Organization	owl:sameAs	164068	M0	ANY	0	127	5.643806227	0.01309	0.00718	0.00887	0.48225	0.1714	0.07969	0.04684	0.03201	0.02442	0.02163	0.01755	0.01324	0.00932	0.00791
dbo:Organization	dbp:wikiPageUsesTemplate	164068	M0	ANY	0	239	5.559944657	0.03764	0.07009	0.11203	0.13234	0.13342	0.12235	0.09792	0.07552	0.05556	0.03926	0.02815	0.02027	0.0152	0.01136
dbo:Organization	dc:subject	164068	M0	ANY	0	215	4.833349587	0.02292	0.05604	0.11328	0.16318	0.18578	0.15035	0.10345	0.06781	0.04483	0.02888	0.01888	0.01287	0.00865	0.00569
dbo:Organization	dbo:wikiPageWikiLinkText	164068	M0	ANY	0	282	3.681034693	0.03375	0.38227	0.20306	0.11451	0.06997	0.04462	0.03005	0.02136	0.01566	0.01223	0.00987	0.00778	0.00655	0.0055
dbo:Organization	dbo:wikiPageExternalLink	164068	M0	ANY	0	744	2.935380452	0.18409	0.27784	0.18914	0.11412	0.07043	0.04405	0.02954	0.02026	0.01438	0.01052	0.00775	0.00588	0.00452	0.0035
dbo:Organization	dbo:wikiPageOutDegree	164068	M1	M1	0	1	0.980367896	0.01963	0.98037	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	dbo:wikiPageRevisionID	164068	M1	M1	0	1	0.980367896	0.01963	0.98037	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	rdfs:label	164068	M1	M1	0	1	0.980367896	0.01963	0.98037	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	prov:wasDerivedFrom	164068	M1	M1	0	1	0.980367896	0.01963	0.98037	0	0	0	0	0	0	0	0	0	0	0	0
dbo:Organization	foaf:isPrimaryTopicOf	164068	M1	M1	0	1	0.980367896	0.01963	0.98037	0	0	0	0	0	0	0	0	0	0	0	0
